,PatentNumber,PatentAsignee
1253,WO2011160024-A2,FUZIANS BIOMEDICALS INC (FUZI-Non-standard)
1254,WO2011160024-A2,FUZIANS BIOMEDICALS INC (FUZI-Non-standard)
1255,WO2011160024-A2,UAB RES FOUND (UABR-C)
1256,WO2011160024-A2,UAB RES FOUND (UABR-C)
1257,WO2011160024-A2,UAB RES FOUND (UABR-C)
1258,WO2011156734-A2,HITACHI CHEM CO LTD (HITB-C)
1259,WO2011156734-A2,HITACHI CHEM RES CENT INC (HITB-C)
1260,WO2011156734-A2,HITACHI CHEM RES CENT INC (HITB-C)
1261,WO2011156734-A2,HITACHI CHEM CO LTD (HITB-C)
1262,WO2011156273-A1,MOUNT SINAI SCHOOL MEDICINE (MOUN-C)
1263,WO2011156273-A1,MOUNT SINAI SCHOOL MEDICINE (MOUN-C)
1264,WO2011156273-A1,TENOEVER B R (TENO-Individual)
1265,WO2011156273-A1,ICAHN SCHOOL MEDICINE (MOUN-C)
1266,WO2011155898-A1,WADELL G (WADE-Individual)
1267,WO2011155898-A1,EDLUND K (EDLU-Individual)
1268,WO2011155898-A1,STRAND M (STRA-Individual)
1269,WO2011155898-A1,ANDERSSON E (ANDE-Individual)
1270,WO2011155898-A1,OEBERG C (OEBE-Individual)
1271,WO2011155898-A1,ELOFSSON M (ELOF-Individual)
1272,WO2011155898-A1,MEI Y (MEIY-Individual)
1273,WO2011155898-A1,WADELL G (WADE-Individual)
1274,WO2011155898-A1,EDLUND K (EDLU-Individual)
1275,WO2011155898-A1,STRAND M (STRA-Individual)
1276,WO2011155898-A1,ANDERSSON E (ANDE-Individual)
1277,WO2011155898-A1,OEBERG C (OEBE-Individual)
1278,WO2011155898-A1,ELOFSSON M (ELOF-Individual)
1279,WO2011155898-A1,MEI Y (MEIY-Individual)
1280,WO2011155898-A1,WADELL G (WADE-Individual)
1281,WO2011155898-A1,EDLUND K (EDLU-Individual)
1282,WO2011155898-A1,STRAND M (STRA-Individual)
1283,WO2011155898-A1,ANDERSSON E (ANDE-Individual)
1284,WO2011155898-A1,OEBERG C (OEBE-Individual)
1285,WO2011155898-A1,ELOFSSON M (ELOF-Individual)
1286,WO2011155898-A1,MEI Y (MEIY-Individual)
1287,WO2011155898-A1,EIRIUM AB (EIRI-Non-standard)
1288,US2011305725-A1,WYETH LLC (AMHP-C)
1289,WO2011151470-A2,AVIR GREEN HILLS BIOTECHNOLOGY TRADE AG (AVIR-Non-standard)
1290,WO2011151470-A2,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
1291,WO2011151470-A2,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
1292,WO2011151470-A2,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
1293,WO2011151470-A2,BAXTER HEALTHCARE SA (BAXT-C)
1294,WO2011151470-A2,AVIR GREEN HILLS BIOTECHNOLOGY RES DEV (AVIR-Non-standard)
1295,WO2011151359-A1,NOSCIRA SA (NOSC-Non-standard)
1296,EP2392343-A1,PERRAUDIN J (PERR-Individual)
1297,EP2392343-A1,PERRAUDIN J (PERR-Individual)
1298,WO2011150162-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1299,WO2011150162-A1,PTC THERAPEUTICS INC (PTCT-Non-standard)
1300,US2011291652-A1,UNIV FLORIDA STATE RES FOUND (UYFL-C)
1301,US2011291652-A1,UNIV FLORIDA STATE RES FOUND (UYFL-C)
1302,WO2011150413-A1,MOUNT SINAI SCHOOL MEDICINE (MOUN-C)
1303,WO2011150413-A1,MOUNT SINAI SCHOOL MEDICINE (MOUN-C)
1304,NZ576201-A,MERIAL LTD (SNFI-C)
1305,WO2011146527-A2,HODGE T (HODG-Individual)
1306,WO2011146527-A2,MURRAY J (MURR-Individual)
1307,WO2011146527-A2,RUBIN D (RUBI-Individual)
1308,WO2011146527-A2,UNIV VANDERBILT (UVAN-C)
1309,WO2011146527-A2,ZIRUS INC (ZIRU-Non-standard)
1310,WO2011146527-A2,RUBIN D (RUBI-Individual)
1311,WO2011146527-A2,MURRAY J (MURR-Individual)
1312,WO2011146527-A2,HODGE T (HODG-Individual)
1313,WO2011146629-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1314,WO2011146629-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1315,WO2011146629-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1316,WO2011146629-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1317,WO2011146629-A2,QIAGEN GAITHRESBURG INC (QIAG-C)
1318,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1319,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1320,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1321,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1322,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1323,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1324,WO2011141819-A1,NOVARTIS AG (NOVS-C)
1325,WO2012003030-A2,KINETA INC (KINE-Non-standard)
1326,WO2012003030-A2,KINETA INC (KINE-Non-standard)
1327,WO2012003030-A2,KINETA INC (KINE-Non-standard)
1328,RU2010116510-A,SCI&RES VETERINARY INST (SCRE-Soviet Institute)
1329,RU2010116510-A,SCI & RES VETERINARY INST (SCRE-Non-standard)
1330,US2011274649-A1,BRIGHAM&WOMENS HOSPITAL INC (BGHM-C)
1331,US2011274649-A1,TREMRX INC (TREM-Non-standard)
1332,US2011274649-A1,TREMRX INC (TREM-Non-standard)
1333,CN102234638-A,UNIV CHINESE HONG KONG (UYCE-C)
1334,CN102234638-A,CHINESE ACAD SCI KUNMING ZOOLOGY INST (CAKP-C)
1335,CN102234638-A,CHINESE ACAD SCI KUNMING BOTANY INST (CAKP-C)
1336,KR2011121190-A,UNIV KONKUK IND COOP CORP (UKUK-C)
1337,WO2011133712-A2,KINETA INC (KINE-Non-standard)
1338,WO2011133712-A2,KINETA INC (KINE-Non-standard)
1339,WO2011133712-A2,KINETA INC (KINE-Non-standard)
1340,WO2011133712-A2,KINETA INC (KINE-Non-standard)
1341,WO2011133707-A2,KINETA INC (KINE-Non-standard)
1342,WO2011133707-A2,KINETA INC (KINE-Non-standard)
1343,WO2011133707-A2,KINETA INC (KINE-Non-standard)
1344,WO2011133729-A2,KINETA INC (KINE-Non-standard)
1345,WO2011133729-A2,KINETA INC (KINE-Non-standard)
1346,WO2011133729-A2,KINETA INC (KINE-Non-standard)
1347,WO2011133722-A2,KINETA INC (KINE-Non-standard)
1348,WO2011133722-A2,KINETA INC (KINE-Non-standard)
1349,WO2011133722-A2,KINETA INC (KINE-Non-standard)
1350,WO2011133722-A2,KINETA INC (KINE-Non-standard)
1351,WO2011133727-A2,KINETA INC (KINE-Non-standard)
1352,WO2011133727-A2,KINETA INC (KINE-Non-standard)
1353,WO2011133727-A2,KINETA INC (KINE-Non-standard)
1354,WO2011133727-A2,KINETA INC (KINE-Non-standard)
1355,WO2011133719-A2,KINETA INC (KINE-Non-standard)
1356,US2011262482-A1,KINETA INC (KINE-Non-standard)
1357,US2011262482-A1,KINETA INC (KINE-Non-standard)
1358,US2011262482-A1,KINETA INC (KINE-Non-standard)
1359,US2011262482-A1,KINETA INC (KINE-Non-standard)
1360,AU2011101109-A4,CHER A (CHER-Individual)
1361,AU2011101109-A4,CHEVRON POINT BUSINESS CENT (CHEV-Non-standard)
1362,WO2011133450-A2,MESO SCALE TECHNOLOGIES LLC (MESO-Non-standard)
1363,WO2011133450-A2,MESO SCALE TECHNOLOGIES LLC (MESO-Non-standard)
1364,WO2011133450-A2,MESO SCALE TECHNOLOGIES LLC (MESO-Non-standard)
1365,WO2011133450-A2,MESO SCALE TECHNOLOGIES LLC (MESO-Non-standard)
1366,WO2011133450-A2,SIGAL G (SIGA-Individual)
1367,RU2443429-C2,ANIMALS HEALTH PROTECTION FEDERAL CENT (ANIM-Non-standard)
1368,RU2443429-C2,ANIMALS HEALTH PROTECTION FEDERAL CENT (ANIM-Soviet Institute)
1369,CN102221611-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1370,ES2366255-A1,UNIV SANTIAGO COMPOSTELA (UYSA-Non-standard)
1371,WO2011126976-A1,UNIV VANDERBILT (UVAN-C)
1372,WO2011126976-A1,DERMODY T S (DERM-Individual)
1373,WO2011126976-A1,BOEHME K W (BOEH-Individual)
1374,WO2011126976-A1,IKIZLER M (IKIZ-Individual)
1375,WO2011126976-A1,WILSON G J (WILS-Individual)
1376,WO2011126976-A1,CHAPPELL J D (CHAP-Individual)
1377,WO2011127019-A2,CELGENE CORP (CGEN-C)
1378,WO2011127019-A2,CELGENE CORP (CGEN-C)
1379,WO2011127019-A2,CELGENE CORP (CGEN-C)
1380,WO2011127019-A2,CELGENE CORP (CGEN-C)
1381,CN202002930-U,CHINESE ACAD INSPECTION & QUARANTINE (CAIQ-C)
1382,WO2011119527-A1,UNIV ROCHESTER (UYRP-C)
1383,WO2011119527-A1,UNIV ROCHESTER (UYRP-C)
1384,WO2011119527-A1,UNIV ROCHESTER (UYRP-C)
1385,US2011236882-A1,ACAD SINICA (SNIC-C)
1386,US2011236882-A1,ACAD SINICA (SNIC-C)
1387,US2011236882-A1,ACAD SINICA (SNIC-C)
1388,US2011236882-A1,LIN H (LINH-Individual)
1389,US2011236882-A1,KAO C (KAOC-Individual)
1390,US2011236882-A1,YU A L (YUAL-Individual)
1391,US2011236882-A1,PENG W (PENG-Individual)
1392,US2011236882-A1,CHEN C (CHEN-Individual)
1393,CN102199674-A,INST VIRUS PREVENTION & CONTROL CHINA DI (CCDC-C)
1394,CN102199674-A,NAT INST VIRAL DISEASE CONTROL & PREVENT (CCDC-C)
1395,US2011229914-A1,LEE F E (LEEF-Individual)
1396,US2011229914-A1,SANZ I (SANZ-Individual)
1397,US2011229914-A1,WALSH E E (WALS-Individual)
1398,US2011229914-A1,FALSEY A R (FALS-Individual)
1399,US2011229914-A1,HALLILEY J L (HALL-Individual)
1400,CN201984071-U,CHINESE ACAD INSPECTION & QUARANTINE (CAIQ-C)
1401,WO2011110852-A1,ASTRAZENECA AB (ASTR-C)
1402,WO2011110852-A1,ASTRAZENECA UK LTD (ASTR-C)
1403,WO2011110852-A1,ASTRAZENECA AB (ASTR-C)
1404,WO2011112593-A1,INTERVET INT BV (IVET-C)
1405,WO2011112593-A1,INTERVET INT BV (IVET-C)
1406,WO2011112593-A1,INTERVET INT BV (IVET-C)
1407,US2011223659-A1,DIAGNOSTIC HYBRIDS INC (DIAG-Non-standard)
1408,WO2011110955-A2,NOVARTIS AG (NOVS-C)
1409,WO2011110955-A2,NOVARTIS AG (NOVS-C)
1410,WO2011110955-A2,NOVARTIS AG (NOVS-C)
1411,WO2011110955-A2,NOVARTIS AG (NOVS-C)
1412,WO2011110955-A2,TSAI T (TSAI-Individual)
1413,WO2011112586-A2,UNIV CORNELL (CORR-C)
1414,WO2011112586-A2,WHITTAKER G (WHIT-Individual)
1415,WO2011112586-A2,REGAN A (REGA-Individual)
1416,CN102181583-A,HENAN SCI & TECHNOLOGY INST (HESC-C)
1417,US2011218241-A1,CACAO BIO-TECHNOLOGIES LLC (CACA-Non-standard)
1418,WO2011106743-A1,MERIAL LTD (SNFI-C)
1419,WO2011106743-A1,AUDONNET J (AUDO-Individual)
1420,WO2011106743-A1,MINKE J (MINK-Individual)
1421,WO2011106743-A1,MERIAL LTD (SNFI-C)
1422,WO2011106743-A1,MERIAL LTD (SNFI-C)
1423,WO2011106743-A1,LASERSOHN J W (LASE-Individual)
1424,WO2011106743-A1,HORZEWSKI M J (HORZ-Individual)
1425,WO2011106743-A1,MERIAL INC (SNFI-C)
1426,WO2011106743-A1,MERIAL INC (SNFI-C)
1427,WO2011106743-A1,MERIAL INC (SNFI-C)
1428,WO2011105633-A1,AJINOMOTO CO INC (AJIN-C)
1429,WO2011105633-A1,AJINOMOTO CO INC (AJIN-C)
1430,WO2011105633-A1,EJIMA D (EJIM-Individual)
1431,WO2011105633-A1,SATO H (SATO-Individual)
1432,WO2011105633-A1,KOYAMA H (KOYA-Individual)
1433,WO2011105633-A1,ARAKAWA T (ARAK-Individual)
1434,WO2011105633-A1,AJINOMOTO KK (AJIN-C)
1435,WO2011105633-A1,AJINOMOTO CO INC (AJIN-C)
1436,WO2011105633-A1,EJIMA D (EJIM-Individual)
1437,WO2011105633-A1,SATO H (SATO-Individual)
1438,WO2011105633-A1,KOYAMA H (KOYA-Individual)
1439,WO2011105633-A1,ARAKAWA T (ARAK-Individual)
1440,WO2011100528-A2,UNIV EMORY (UEMR-C)
1441,WO2011100528-A2,UNIV EMORY (UEMR-C)
1442,WO2011100528-A2,UNIV EMORY (UEMR-C)
1443,WO2011098799-A2,PULMAGEN THERAPEUTICS INFLAMMATION LTD (PULM-Non-standard)
1444,WO2011098799-A2,FINCH H (FINC-Individual)
1445,WO2011098799-A2,FOX C (FOXC-Individual)
1446,WO2011098801-A1,PULMAGEN THERAPEUTICS INFLAMMATION LTD (PULM-Non-standard)
1447,GB2477540-A,PULMAGEN THERAPEUTICS INFLAMMATION LTD (PULM-Non-standard)
1448,WO2011091473-A1,RESPIRIO PTY LTD (RESP-Non-standard)
1449,WO2011091473-A1,RESPIRIO PTY LTD (RESP-Non-standard)
1450,WO2011091473-A1,RESPIRIO PTY LTD (RESP-Non-standard)
1451,WO2011091473-A1,RESPIRIO PTY CO LTD (RESP-Non-standard)
1452,WO2011091473-A1,RESPIRIO PTY LTD (RESP-Non-standard)
1453,WO2011091473-A1,DAHL S D (DAHL-Individual)
1454,WO2011091473-A1,PARSONS S A (PARS-Individual)
1455,WO2011091473-A1,EDGCOMBE J P (EDGC-Individual)
1456,WO2011091473-A1,ELLUME PTY LTD (ELLU-Non-standard)
1457,WO2011091473-A1,ELLUME PTY LTD (ELLU-Non-standard)
1458,WO2011091473-A1,ELLUME PTY LTD (ELLU-Non-standard)
1459,WO2011091473-A1,MASCHMANN J (MASC-Individual)
1460,WO2011091473-A1,WONG K E G (WONG-Individual)
1461,WO2011091473-A1,SPINK T I (SPIN-Individual)
1462,WO2011091473-A1,WILSON S R (WILS-Individual)
1463,WO2011094693-A1,MOUNT SINAI SCHOOL MEDICINE (MOUN-C)
1464,WO2011094693-A1,SHAW M (SHAW-Individual)
1465,WO2011094693-A1,ORTIGOZA M (ORTI-Individual)
1466,WO2011094693-A1,GARCIA-SASTRE A (GARC-Individual)
1467,WO2011094693-A1,PALESE P (PALE-Individual)
1468,WO2011094357-A2,UNIV COLORADO (COLS-C)
1469,WO2011094357-A2,UNIV COLORADO (COLS-C)
1470,WO2011094528-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1471,WO2011094528-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1472,WO2011094528-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1473,WO2011094528-A2,QIAGEN GAITHERSBURG INC (QIAG-C)
1474,WO2011094528-A2,NAZARENKO I (NAZA-Individual)
1475,KR2011086473-A,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
1476,WO2011087366-A1,UNIV UTRECHT HOLDING BV (UYUT-Non-standard)
1477,WO2011087366-A1,UNIV UTRECHT HOLDING BV (UYUT-Non-standard)
1478,WO2011087366-A1,UNIV UTRECHT HOLDING BV (UYUT-Non-standard)
1479,WO2011087366-A1,UNIV UTRECHT HOLDING BV (UYUT-Non-standard)
1480,WO2011087366-A1,ROTTIER P J M (ROTT-Individual)
1481,WO2011087366-A1,CHANG H (CHAN-Individual)
1482,WO2011087366-A1,EGBERINK H F (EGBE-Individual)
1483,US2011178269-A1,WANG Y (WANG-Individual)
1484,US2011178269-A1,LAI S (LAIS-Individual)
1485,US2011178269-A1,YEH C (YEHC-Individual)
1486,US2011178269-A1,CHONG P C (CHON-Individual)
1487,US2011178269-A1,LIU S (LIUS-Individual)
1488,RU2423996-C1,NONBLACK SOIL VETERINARY RES INST (NONB-Soviet Institute)
1489,US2011172261-A1,NAT HEALTH RES INST (NAHE-C)
1490,WO2011083317-A1,VARLEIGH IMMUNO PHARM LTD (IMMO-C)
1491,WO2011083317-A1,VARLEIGH IMMUNO PHARM LTD (IMMO-C)
1492,WO2011083317-A1,WESTON-DAVIES W (WEST-Individual)
1493,WO2011083317-A1,VARLEIGH IMMUNO PHARM LTD (IMMO-C)
1494,WO2011083317-A1,VARLEIGH IMMUNO PHARM LTD (IMMO-C)
1495,WO2011083317-A1,WESTON-DAVIES W (WEST-Individual)
1496,WO2011083317-A1,VOLUTION IMMUNO PHARM SA (VOLU-Non-standard)
1497,WO2011083317-A1,VOLUTION IMMUNO PHARM SA (IMMO-C)
1498,WO2011083317-A1,VARLEIGH IMMUNO PHARM VIP LTD (IMMO-C)
1499,WO2011083317-A1,VOLUTION IMMUNO PHARM SA (VOLU-Non-standard)
1500,KR1158039-B1,SO S K (SOSK-Individual)
1501,WO2011082175-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1502,WO2011082175-A2,ZACHARON PHARM INC (ZACH-Non-standard)
1503,WO2011080593-A2,PURAPHARM INT HK LTD (PURA-Non-standard)
1504,WO2011080593-A2,VERSITECH LTD (VERS-Non-standard)
1505,WO2011080593-A2,PURAPHARM INT HK LTD (PURA-Non-standard)
1506,WO2011080593-A2,VERSITECH LTD (VERS-Non-standard)
1507,WO2011080593-A2,VESITECH LTD (VESI-Non-standard)
1508,WO2011080593-A2,VERSITECH LTD (VERS-Non-standard)
1509,WO2011080593-A2,PURAPHARM CO LTD (PURA-Non-standard)
1510,WO2011080593-A2,LAU A S (LAUA-Individual)
1511,WO2011080593-A2,YANG L H C (YANG-Individual)
1512,WO2011080593-A2,LAW A H (LAWA-Individual)
1513,WO2011080593-A2,VERSITECH LTD (VERS-Non-standard)
1514,WO2011080593-A2,PURAPHARM CO LTD (PURA-Non-standard)
1515,WO2011080593-A2,BAGI RES LTD (BAGI-Non-standard)
1516,WO2011080593-A2,VERSITECH LTD (VERS-Non-standard)
1517,WO2011080593-A2,PURAPHARM CO LTD (PURA-Non-standard)
1518,WO2011080593-A2,PURAPHARM CO LTD (PURA-Non-standard)
1519,WO2011080593-A2,BAGI RES LTD (BAGI-Non-standard)
1520,WO2011080593-A2,BAGI RES CO LTD (BAGI-Non-standard)
1521,US2011165649-A1,TYLER B (TYLE-Individual)
1522,US2011165649-A1,KALE S (KALE-Individual)
1523,US2011165649-A1,VIRGINIA TECH INTELLECTUAL PROPERTIES (VIRG-C)
1524,WO2011076367-A2,MARINOMED BIOTECHNOLOGIE GMBH (MARI-Non-standard)
1525,WO2011076367-A2,MARINOMED BIOTECHNOLOGIE GMBH (MARI-Non-standard)
1526,WO2011076367-A2,MARINOMED BIOTECHNOLOGIE GMBH (MARI-Non-standard)
1527,WO2011076367-A2,MARINOMED BIOTECHNOLOGIE GMBH (MARI-Non-standard)
1528,WO2011076367-A2,MARINOMED BIOTECH AG (MARI-Non-standard)
1529,WO2011076367-A2,GRASSAUER A (GRAS-Individual)
1530,WO2011076367-A2,PRIESCHL-GRASSAUER E (PRIE-Individual)
1531,WO2011076367-A2,MEIER C (MEIE-Individual)
1532,WO2011076367-A2,KONIG-SCHUSTER M (KONI-Individual)
1533,DE102009056871-A1,NOVARTIS AG (NOVS-C)
1534,DE102009056871-A1,NOVARTIS VACCINES&DIAGNOSTICS INC (NOVS-C)
1535,DE102009056871-A1,NOVARTIS AG (NOVS-C)
1536,KR2011068191-A,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
1537,WO2011067516-A1,ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE (ASSI-C)
1538,WO2011067516-A1,ASSISTANCE PUBLIQUE HOPITAUX MARSEILLE (ASSI-C)
1539,US2011135685-A1,SOYMEDS INC (SOYM-Non-standard)
1540,US2011135685-A1,PILLER K J (PILL-Individual)
1541,US2011135685-A1,BOST K L (BOST-Individual)
1542,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1543,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1544,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1545,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1546,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1547,WO2011067673-A2,NOVARTIS AG (NOVS-C)
1548,WO2011068094-A1,SUMITOMO CHEM CO LTD (SUMO-C)
1549,WO2011068094-A1,KITASATO INST (KITA-C)
1550,WO2011068094-A1,SUMITOMO CHEM CO LTD (SUMO-C)
1551,WO2011068094-A1,SUMITOMO CHEM CO LTD (SUMO-C)
1552,US2011129479-A1,TOBIN M B (TOBI-Individual)
1553,EP2327787-A1,CONSEJO SUPERIOR INVESTIGACIONES CIENTIF (CNSJ-C)
1554,EP2327787-A1,FORT DODGE VETERINARIA SA (FORT-Non-standard)
1555,CN102078275-A,HARBIN PHARM GROUP SANJING MEDICINE CO (HARB-Non-standard)
1556,US2011125411-A1,LAWRENCE LIVERMORE NAT SECURITY LLC (USGO-C)
1557,WO2011061527-A1,ASTRAZENECA AB (ASTR-C)
1558,WO2011061527-A1,BAYER SCHERING PHARMA AG (FARB-C)
1559,WO2011061527-A1,ASTRAZENECA UK LTD (ASTR-C)
1560,WO2011054851-A1,GLAXOSMITHKLINE LLC (GLAX-C)
1561,WO2011054851-A1,GLAXOSMITHKLINE LLC (GLAX-C)
1562,WO2011054851-A1,BAMBOROUGH P (BAMB-Individual)
1563,WO2011054851-A1,CHUNG C (CHUN-Individual)
1564,WO2011054851-A1,GLAXOSMITHKLINE LLC (GLAX-C)
1565,WO2011054843-A1,GLAXOSMITHKLINE LLC (GLAX-C)
1566,WO2011054843-A1,CHUNG C (CHUN-Individual)
1567,WO2011054843-A1,NICODEME E (NICO-Individual)
1568,WO2011054843-A1,GLAXOSMITHKLINE LLC (GLAX-C)
1569,WO2011054843-A1,NICODEME E (NICO-Individual)
1570,WO2011056168-A1,BIOSYB PHARM (BIOS-Non-standard)
1571,WO2011057124-A1,TRANSTARGET INC (TRAN-Non-standard)
1572,WO2011057124-A1,UNIV WAYNE STATE (UYWY-C)
1573,WO2011057124-A1,UNIV WAYNE STATE (UYWY-C)
1574,WO2011057124-A1,TRANSTARGET INC (TRAN-Non-standard)
1575,WO2011057124-A1,LUM L G (LUML-Individual)
1576,WO2011057124-A1,HUANG M (HUAN-Individual)
1577,WO2011055979-A2,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
1578,WO2011055979-A2,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
1579,WO2011055979-A2,KOREA RES INST BIOSCIENCE&BIOTECHNOLOG (KRIB-C)
1580,WO2011055979-A2,OH S (OHSS-Individual)
1581,WO2011055979-A2,KIM J W (KIMJ-Individual)
1582,WO2011055979-A2,LEE H (LEEH-Individual)
1583,WO2011055979-A2,AHN K S (AHNK-Individual)
1584,WO2011055979-A2,KIM D Y (KIMD-Individual)
1585,WO2011055979-A2,KIM J H (KIMJ-Individual)
1586,WO2011055979-A2,SONG J S (SONG-Individual)
1587,WO2011055979-A2,KANG H (KANG-Individual)
1588,WO2011055979-A2,CHOI I (CHOI-Individual)
1589,WO2011055979-A2,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
1590,WO2011055979-A2,KOREA RES INST BIOSCIENCE & BIOTECHNOLOG (KRIB-C)
1591,WO2011056175-A1,INTERVET INT BV (IVET-C)
1592,WO2011056175-A1,INTERVET INC (MERI-C)
1593,WO2011053854-A1,BIOGENIC INNOVATIONS LLC (BIOG-Non-standard)
1594,WO2011053854-A1,BIOGENIC INNOVATIONS LLC (BIOG-Non-standard)
1595,WO2011053854-A1,BIOGENIC INNOVATIONS LLC (BIOG-Non-standard)
1596,WO2011053854-A1,BIOGENIC INNOVATIONS LLC (BIOG-Non-standard)
1597,US2011105562-A1,PARKER M H (PARK-Individual)
1598,US2011105562-A1,HLASTA D J (HLAS-Individual)
1599,US2011105562-A1,HUANG Y (HUAN-Individual)
1600,US2011105562-A1,REITZ A B (REIT-Individual)
1601,US2011105562-A1,LAWSON E C (LAWS-Individual)
1602,US2011105562-A1,SCHUBERT C (SCHU-Individual)
1603,US2011105562-A1,STROBEL E (STRO-Individual)
1604,US2011105562-A1,TOUNGE B A (TOUN-Individual)
1605,US2011105562-A1,WHITE K (WHIT-Individual)
1606,US2011105562-A1,WINTERS M P (WINT-Individual)
1607,US2011105562-A1,GHOSH S (GHOS-Individual)
1608,US2011105562-A1,JANSSEN PHARM NV (JANC-C)
1609,US2011105562-A1,JANSSEN PHARM NV (JANC-C)
1610,US2011105562-A1,JANSSEN PHARM NV (JANC-C)
1611,US2011105562-A1,JANSSEN PHARM INC (JANC-C)
1612,WO2011045557-A1,UNION AGRIC COOP RETHYMNO (UNAG-Non-standard)
1613,WO2011045557-A1,TOWLER P D (TOWL-Individual)
1614,WO2011045557-A1,UNION AGRIC COOP RETHYMNO (UNAG-Non-standard)
1615,WO2011045557-A1,ALLWORTH TECHNOLOGY CO LTD (ALLW-Non-standard)
1616,WO2011045557-A1,OLVOS SCI SA (OLVO-Non-standard)
1617,WO2011045471-A1,VALIO LTD (VALI-Non-standard)
1618,WO2011045471-A1,KEKKONEN R (KEKK-Individual)
1619,WO2011045471-A1,MIETTINEN M (MIET-Individual)
1620,WO2011045471-A1,VALIO LTD (VALI-Non-standard)
1621,WO2011045471-A1,VALIO LTD (VALI-Non-standard)
1622,WO2011045471-A1,VALIO CO LTD (VALI-Non-standard)
1623,CN102021145-A,RADIOLOGY & RADIATION INST PLA MILITARY (JSYX-C)
1624,KR1029972-B1,BRNSCIENCE CO LTD (BRNS-Non-standard)
1625,KR1029972-B1,SNU R&DB FOUND (USEO-C)
1626,WO2011042026-A1,UNIV KOBENHAVNS (UYKO-Non-standard)
1627,WO2011042026-A1,UNIV COPENHAGEN (UYCO-Non-standard)
1628,WO2011042026-A1,UNIV KOBENHAVNS (UKOB-C)
1629,WO2011042026-A1,UNIV COPENHAGEN (UYCO-Non-standard)
1630,WO2011043735-A1,ASIAN PHYTOCEUTICALS PUBLIC CO LTD (ASPH-Non-standard)
1631,WO2011043735-A1,AXIS IP HOLDING PTE LTD (AXIS-Non-standard)
1632,WO2011038678-A1,INVERNESS MEDICAL SHANGHAI CO LTD (INVE-Non-standard)
1633,KR2011034770-A,YANG SUNG INC (YANG-Non-standard)
1634,WO2011036539-A1,BORODY T J (BORO-Individual)
1635,WO2011036539-A1,BORODY T (BORO-Individual)
1636,WO2011036539-A1,BORODY T J (BORO-Individual)
1637,WO2011036539-A1,BORODY T J (BORO-Individual)
1638,WO2011036539-A1,BORODY T J (BORO-Individual)
1639,US2011065712-A1,CYLENE PHARM INC (CYLE-Non-standard)
1640,US2011065712-A1,CYLENE PHARM INC (CYLE-Non-standard)
1641,US2011065712-A1,CYLENE PHARM INC (CYLE-Non-standard)
1642,US2011065712-A1,CYLENE PHARM INC (CYLE-Non-standard)
1643,US2011065712-A1,CYLENE PHARM INC (CYLE-Non-standard)
1644,CN101985665-A,UNIV FUDAN (UYFU-C)
1645,CN101985665-A,UNITED GENE SHANGHAI HEALTHCARE MANAGEMENT SERVICE CO LTD (SHBD-C)
1646,CN101985665-A,UNITED GENE SHANGHAI HEALTHCARE MANAGEME (SHBD-C)
1647,WO2011028531-A1,BAYLOR COLLEGE MEDICINE (BAYU-C)
1648,WO2011028531-A1,WILSON WOLF MFG (WILS-Non-standard)
1649,WO2011028531-A1,LEEN A M (LEEN-Individual)
1650,WO2011028531-A1,GERDEMANN U (GERD-Individual)
1651,WO2011028531-A1,ROONEY C (ROON-Individual)
1652,WO2011028531-A1,VERA J (VERA-Individual)
1653,WO2011028531-A1,WILSON J R (WILS-Individual)
