,Title,PatentNumber,publishDate,language,pages,region,na
1273," Detecting presence of different target nucleic acids in sample, simultaneously, by performing primer extension using sample and mass tagged primers, cleaving tags from extended primers, determining presence and sizes of cleaved mass tags.",US2006003352-A1,2006,English,1,World,US
1274," Enhancing an immune response in a subject, useful for treating cancer and bacterial or viral infections, comprises administering to the subject a reagent that targets a cell having immunosuppressive activity.",US2006002932-A1,2006,English,0,World,US
1275, Method of treating viral infection comprises administering aminoalkyl compound in a subject suffering from or being at risk of suffering from an infection with a coronavirus.,WO2006073456-A2,2006,English,3,World,WO
1276," Non-liquid vaccine composition useful for treating anthrax, cancers, rabies, foot and mouth disease, in animal and human, comprises several antigen components, its non-liquid adjuvant, and optionally non-liquid vaccine protection agent.",WO2005123120-A1,2005,English,7,World,WO
1277, Preparing a medicament for treating an individual infected with or suspected of being infected with an aurintricarboxylic acid (ATA)-sensitive virus by mixing an effective amount of ATA or its derivative with a suitable excipient.,WO2005123965-A1,2005,English,4,World,WO
1278, Magnetic capture of SARS coronavirus and PCR detection.,CN1712544-A,2005,Chinese,,China,CN
1279, Disinfectant for killing corona virus is a solution of ethane peroxide acid composition diluted in water.,CN1711845-A,2005,Chinese,,China,CN
1280, Method for suppressing atypical pneumonia coronavirus.,RU2266757-C2,2005,,,World,RU
1281," New expression vector encoding coronavirus-like particle, useful for cloning Class I viral fusion protein gene or used as DNA vaccine candidate.",US2005282279-A1,2005,English,3,World,US
1282," Vaccine useful for induction of antibodies against severe acute respiratory syndrome (SARS) virus, comprises polypeptide having sequence of receptor-binding domain in SARS associated coronavirus spike protein.",WO2005120565-A2,2005,English,7,World,WO
1283, Screening for a potential novel antiviral agent that inhibits cyclic-AMP dependent protein kinase activity of the viral protein by comparing to cyclic-AMP dependent protein kinase activity in the absence of the agent to be tested.,US2005276818-A1,2005,English,1,World,US
1284," Nucleic acid strand detection substrate for medical treatment, has probe electrode and electrode for signal extraction that are surrounded by frame having container shape, and are connected by wire.",JP2005345243-A,2005,Japanese,9,World,JP
1285, SARS virus vaccines comprising replication-defective adenovirus carriers utilizing the SARS-associated coronavirus S (spike) gene.,WO2005117961-A1,2005,Chinese,2,World,WO
1286," New polypeptide comprising a beta-peptide region with a helical structured region that binds to a target protein portion that binds to a helix of a second protein, for e.g. inhibiting tumor growth.",US2005277592-A1,2005,English,4,World,US
1287," Preparation of SARS DNA vaccines comprises using spike gene of coronavirus through genetic engineering, applicable in preventing SARS infection clinically.",WO2005117960-A1,2005,Chinese,0,World,WO
1288," Determining presence of viral/non-viral pathogen, simultaneously, in sample, by contacting binding agent with epitope of pathogen, detecting complex, and detection is positive if pathogen concentration is greater than/equal to reference.",US2005272106-A1,2005,English,6,World,US
1289," New modified cell having three-fold adhesion properties comprising a nucleic acid encoding integrin subunits, useful in research applications.",US2005272155-A1,2005,English,4,World,US
1290," Little interfered RNA preparation for internal preventing or curing respiratory system diseases e.g. asthma, chronic obstructive pulmonary disease, and respiratory syncytial virus.",CN1704123-A,2005,Chinese,,China,CN
1291," New actinomycetes strain Saccharothrix SA 103 and its mutants, useful for producing new or known mutactimycin and aldgamycin antibiotics with antibacterial, antiviral and anticancer action.",FR2870853-A1,2005,French,9,World,FR
1292," New vaccine comprising inactivated whole cell preparations of Porphyromonas gulae, P. salivosa and O. denticanis, useful for treating or preventing periodontal disease caused by e.g., Porphyromonas gulae, P. salivosa or O. denticanis.",WO2005112993-A1,2005,English,7,World,WO
1293," Use of an immunomodulatory compound (gamma-D-glutamyl-L-tryptophan) to treat or prevent respiratory viral infections, e.g. corona virus infection, influenza infection or orthomyxovirus-coronavirus hybrid infection.",WO2005112639-A2,2005,English,2,World,WO
1294," Novel alkoxy methyl ketone derivative, its salt or its solvate useful for preventing and treating SARS related infection, preferably severe acute respiratory syndrome.",WO2005113580-A1,2005,English,9,World,WO
1295," Treating a subject having or at risk of developing infection caused by e.g. bacteria, virus, fungus, or parasite, comprises administering gelsolin.",WO2005112970-A2,2005,English,4,World,WO
1296," Treating inflammation associated with an infectious process, liver toxicity, inflammatory disease, burn, cancer, or transplant rejection, loss of appetite, or sepsis in a subject by administering of ghrelin.",WO2005110463-A1,2005,English,8,World,WO
1297," Anti-SARS coronavirus agent for preventing and treating SARS coronavirus infectious disease e.g. severe acute respiratory syndrome, contains proanthocyanidin or catechin as active ingredient.",JP2005314316-A,2005,Japanese,2,World,JP
1298," New acid addition salts of ethyl 6-bromo-4-dimethylaminomethyl-5-hydroxy-1-methyl-2-phenylthiomethyl-3-indolecarboxylate useful as antiviral agents for treating or preventing e.g. rotavirus, coronavirus infections.",WO2005102320-A1,2005,Russian,2,World,WO
1299," New immunogenic polypeptide, useful in preparing a composition for diagnosing or inducing an immunological or protective immune response against Severe Acute Respiratory Syndrome coronavirus (SARS-CoV).",WO2005103259-A1,2005,English,4,World,WO
1300, Process for activity determination of SARS coronavirus 3CL protease and inhibitor screening.,CN1690691-A,2005,Chinese,,China,CN
1301," Screening for agent inhibiting T-cell mediated inflammatory response in subject with inflammatory response, by administering agent to subject and detecting reduction in level of CXCL13 chemokine in subject compared to control.",CA2501422-A1,2005,English,6,World,CA
1302, Strain cod of severe acute respiratory syndrome virus of genus coronavirus designated for development of agents and methods for biological protection.,RU2263144-C2,2005,,,World,RU
1303," Determining whether an agent preferentially binds to allelic variant of L-SIGN comprises separately contacting an agent with allelic variants of L-SIGN, cell lines and plasma membrane fractions from extracts of cell lines.",WO2005100601-A2,2005,English,2,World,WO
1304," Kit useful for simultaneous screening of fecal sample for pathogens e.g., bovine coronavirus and rotavirus and Cryptosporidium parvum, comprises oligonucleotide primer pairs hybridizing to opposite strands of target sequence of pathogens.",US2005239057-A1,2005,English,6,World,US
1305," New genetically modified vesicular stomatitis virus (VSV) comprises mutations in its genome, where the mutations synergistically attenuate VSV pathogenicity, useful for immunizing a host against bacterial or viral infection.",WO2005098009-A2,2005,English,3,World,WO
1306," New isolated polypeptide, designated as NsG33, which is a secreted therapeutic protein, useful for treating immunological, or neurological disorders, e.g. Parkinson's disease, Huntington's disease.",WO2005095450-A2,2005,English,2,World,WO
1307," New substituted imidazopyridine, imidazoquinoline and imidazonapthydrine compounds are cytokine biosynthesis inducers useful to treat e.g. viral disease and neoplastic disease (Kaposi's sarcoma, melanoma and non-Hodgkin's lymphoma).",WO2005094531-A2,2005,English,4,World,WO
1308," Manufacture of antibacterial, anti-mold and anti-viral fiber involves carrying out uptake of pyridine type anti-microbial agent to synthetic fiber, returning fiber to normal pressure and heating fiber.",JP2005281951-A,2005,Japanese,8,World,JP
1309," Novel isolated polypeptide e.g. severe acute respiratory syndrome coronavirus protein 3a, useful for inducing immune response in subject against coronavirus, and identifying test compound for treating infection with coronavirus.",EP1584628-A2,2005,English,6,World,EP
1310," Composition, useful as vaccines, comprises an inactivated microbe/tumor cell prepared by mixture of microbial cell/tumor cell with photoactivatable hydrophobic compound and exposing the mixture to light.",WO2005093049-A1,2005,English,9,World,WO
1311," Novel severe acute respiratory syndrome coronavirus SARS-CoV origin peptide having long-term immunity, useful for detecting presence or absence of SARS-CoV infection, and as vaccine for SARS infection.",JP2005263773-A,2005,,3,World,JP
1312, Expression vector based on coronavirus proteolytic cleavage and its application.,CN1673376-A,2005,Chinese,,China,CN
1313," Polymer for collecting biological material, is obtained by coupling sugar, lipid, protein, peptide, and/or their composite material to portion(s) of carboxyl group of (co)polymer containing monomer unit having carboxyl group.",JP2005255714-A,2005,,2,World,JP
1314," Medicinal composition containing dendritic cell-specific intercellular adhesion factor-3 snatch nonconformity element, cleaning supplies and uses thereof.",CN1669581-A,2005,,,China,CN
1315," New receptor binding polypeptide, useful for inducing an immune response against coronavirus (CoV) and for diagnosing or treating an infection with CoV.",US2008213284-A1,2008,English,,World,US
1316," New recombinant baculovirus comprising a heterologous polypeptide, useful for treating an infection with a coronavirus.",US2005208066-A1,2005,English,1,World,US
1317," Biocompatible non-surfactant formulation useful for decreasing exhalation of particles in an individual having respiratory disease e.g. tuberculosis, allergy, asthma comprises compound selected from salts or sugars, and active agent.",WO2005084638-A2,2005,English,7,World,WO
1318," Antiviral agent for herpes virus, influenza virus, human immunodeficiency virus and human coronavirus, containing extract of Coccomyxa algae as active ingredient.",JP2005247757-A,2005,Japanese,7,World,JP
1319," Novel non-human transgenic mammal comprising first and second transgene having mammary gland specific transcriptional control region linked to cDNA encoding rotavirus protein, for producing recombinant rotavirus viral like protein.",WO2005084427-A1,2005,English,7,World,WO
1320," Assessing efficacy of an immune response to a selected antigen for treating a disease, comprises detecting the presence of very late antigen-1 (VLA-1)+(positive), antigen-specific T-cells.",WO2005084194-A2,2005,English,1,World,WO
1321, Method for establishing SARS related coronavirus infected mouse model.,CN1666602-A,2005,Chinese,,China,CN
1322," Use of tetracyclines for inhibiting calpain activity for treating e.g. traumatic brain injury, traumatic spinal cord injury, stroke, Wallerian degeneration, Alzheimer's disease and Parkinson's disease.",WO2005082860-A1,2005,English,5,World,WO
1323," New casein-derived peptides, useful for preventing or treating an autoimmune, infectious, blood, metabolic, or bacterial disease or condition.",WO2005081628-A2,2005,English,7,World,WO
1324," Novel nucleic acid encoding chimeric polypeptides such as calreticulin and antigenic peptide from severe acute respiratory syndrome corona virus, useful as DNA vaccine for severe acute respiratory syndrome coronavirus.",WO2005081716-A2,2005,English,0,World,WO
1325," Method of inactivating coronavirus involves acting specific amount of cations and anions in air, on preset concentration of coronavirus.",JP2005237689-A,2005,,5,World,JP
1326," Medicament useful for treating a patient a severe acute respiratory syndrome-coronavirus infection comprises botanical drug substances or botanical ingredients obtainable from a species of Scutellaria, Lonicera, Forsythia and Rabdosia.",GB2411354-A,2005,English,2,World,GB
1327," Oral composition useful for increasing milk production in lactating animals and controlling diarrhea, contains nutritional support product e.g. reconstituted milk and/or water, and gluco- and/or isomalto-oligosaccharides.",NZ526114-A,2005,English,4,World,NZ
1328," Treatment of a host infected with a togavirus, coronavirus or a herpes virus involves use of an phospholipid compound optionally with carrier or diluent.",US2005187192-A1,2005,English,6,World,US
1329, Use of meloxicam for the treatment or prevention of respiratory diseases in pigs e.g. porcine respiratory disease complex.,US2005187213-A1,2005,English,9,World,US
1330," Compositions comprising mixtures of siRNA duplexes against e.g. VEGF and cytokines, useful for treating, e.g. ocular disease, angiogenesis-related disease, or cancer.",WO2005076999-A2,2005,English,1,World,WO
1331," Peptide composition for sever acute respiratory syndrome coronavirus, includes peptide such as amino and carboxy terminal hydrophobic repeat domain peptide, and peptide fragment with continuous 14 amino acids.",WO2005077103-A2,2005,English,8,World,WO
1332, SARS-Cov gene vaccine and its preparation based on epitope is configured from the carrier and the target antigen of human SARS coronavirus through codon optimizing and genetic engineering.,CN1657102-A,2005,Chinese,,China,CN
1333," Use of plastic composition comprising inorganic derivative containing silver salts and complexes, for preparation of molded products having antivirus activity against SARS coronavirus.",WO2005080488-A1,2005,English,5,World,WO
1334," Composition, useful for the prevention of cold, comprises vitamin C and ginkgetin.",WO2005076761-A2,2005,English,0,World,WO
1335, Eliciting enhanced immune response from immunogenic composition (comprising immunogenic/antigenic agent and pre-selected excipient) comprises delivering the composition into the intradermal compartment of the skin.,WO2005074460-A2,2005,English,3,World,WO
1336," Composition useful for ameliorating viral infections e.g. common cold, flu and sexually transmitted disease comprises at least two components selected from ionic multivalent metal component, cationic polymer and cationic surfactant.",WO2005074947-A2,2005,English,6,World,WO
1337," Computational method for identifying adhesin and adhesin like molecules, comprises computing sequence-based attributes of protein sequences using neural network software and training an artificial neural network.",WO2005076010-A2,2005,English,2,World,WO
1338," Composition for modulating innate immune system in mammal, comprises microparticle having polycationic polymer, modulator of fas-associated death domain molecule-dependent pathway, and modulator of Toll-like receptor pathway.",WO2005072088-A2,2005,English,2,World,WO
1339," Novel mutant polypeptide having O-linked glycosylation site that does not exist in wild-type polypeptide, useful for providing granulocyte colony stimulating factor therapy, hormone therapy and interferon therapy.",WO2005070138-A2,2005,English,7,World,WO
1340," Increasing production of immunoglobulin A in milk of ruminant mammal, involves immunizing mammal with antigen to stimulate secretion of immunoglobulin A in milk, and collecting milk from mammal on once-daily basis.",WO2005070458-A1,2005,English,5,World,WO
1341," Composition used for treating or preventing viral infections caused by severe acute respiratory syndrome-associated coronavirus, comprises 2,4-dichlorobenzyl alcohol and amylmetacresol.",WO2005067906-A2,2005,English,3,World,WO
1342," Human cell line for treating neurological and eye diseases, comprises a stably integrated expression construct comprising a mammalian promoter, a sequence encoding nerve growth factor and an intron.",WO2005068498-A2,2005,English,7,World,WO
1343, Use of ampeloptin in preparation of antivirus medicines.,CN1644199-A,2005,,,China,CN
1344," Novel oligonucleotide having nuclease-resistant backbone and capable of forming heteroduplex structure with nidovirus, useful for treating human SARS virus, human coronavirus 229E and OC43, and feline coronavirus infections.",WO2005065268-A2,2005,English,9,World,WO
1345, Medicinal agent for treatment of atypical pneumonia.,RU2256451-C1,2005,Russian,0,World,RU
1346, Combined vaccine containing inactivated transmissible gastroenteritis coronavirus (TGEV) and porcine virus type diarrhoea (PEDV) mixture sufficient to protect against causative factor of major porcine virus type diarrhoea.,KR2005074846-A,2005,,,World,KR
1347," An antiviral agent useful for treating infection of viruses such as HIV or severe acute respiratory syndrome virus, contains agent capable of controlling activity of SR protein and inhibiting phosphorylation of SR protein.",WO2005063293-A1,2005,Japanese,2,World,WO
1348," Predicting an infectious disease state, e.g. acute otitis media, conjunctivitis, or a respiratory tract infection, comprises contacting a binding agent directly to the nasopharyngeally-derived sample from the subject.",WO2005063973-A1,2005,English,6,World,WO
1349, Inhibition of anti-parallel coiled coil formation of coronavirus spike protein for reducing viral infection involves decreasing contact between heptad repeat regions of the protein.,WO2005063801-A2,2005,English,0,World,WO
1350," Treating or preventing viral respiratory infection caused by coronavirus, rhinovirus or parainfluenza virus in mammal, involves administering antiviral peptide to mammal having or at risk for viral respiratory infection.",WO2005060541-A2,2005,English,9,World,WO
1351, Use of pharmaceutical composition comprising theaflavin derivatives for treating severe acute respiratory syndrome.,US2005148658-A1,2005,English,4,World,US
1352," New nucleic acid comprising Listeria monocytogenes hly 5' UTR or actA 5' UTR, a ribosome binding site (RBS) and a heterologous nucleic acid sequence, useful in inducing an immune response to a bacterial, fungal, parasitic or cancer antigen.",US2005147621-A1,2005,English,6,World,US
1353," Novel monoclonal or scFv antibody capable of binding to epitope on region of spike protein of severe acute respiratory syndrome coronavirus (SARS-CoV) and neutralizing SARS-CoV, useful for treating SARS-CoV infection.",WO2005060520-A2,2005,English,3,World,WO
1354," New aqueous extract of cinnamon bark useful for the treatment of a viral infection caused by an enveloped virus, e.g. orthomyxoviruses, paramyxoviruses, herpesviruses and retroviruses.",WO2005060352-A2,2005,English,2,World,WO
1355," Oxidative reductive potential water solution, which is stable for at least twenty-four hours, useful for controlling activity of allergens, and for reducing concentration of live microorganisms, comprises anode water and cathode water.",US2005139808-A1,2005,English,6,World,US
1356," Conjugating peptide immunogen, by derivatizing functional groups of protein or polypeptide carrier, reacting reactive group of amino acid residue of peptide immunogen with carrier having functional groups, to produce conjugate.",WO2005058940-A2,2005,English,5,World,WO
1357," Detecting severe acute respiratory syndrome SARS coronavirus nucleic acid in sample, by amplifying nucleic acid of sample with reverse transcriptase and primer specific for non-structural protein 1 region of SARS and analyzing product.",WO2005059177-A1,2005,English,7,World,WO
1358, Modified cyanovirin protein composition useful in the treatment of viral infection comprises protein having specific amino acid sequence.,WO2005058229-A2,2005,English,2,World,WO
1359," Producing storage stable virus composition comprising virus e.g. respiratory syncytial virus or parainfluenza virus, involves freezing virus composition below its glass transition temperature and lyophilizing virus composition.",WO2005058356-A2,2005,English,8,World,WO
1360," Treatment of infection with virus e.g. severe acute respiratory syndrome virus, human coronavirus protease involves administration of peptide-like compounds.",US2005143320-A1,2005,English,6,World,US
1361, New peptide derivatives are viral protease inhibitors useful for treating infections with a virus.,US2005143319-A1,2005,English,8,World,US
1362," Liposome useful for producing medicament for prevention/therapy of proliferative diseases and allergies, comprises cholesterol, phosphatidylserine, phosphatidylglycerol or phosphatidylethanolamine, therapeutic and/or diagnostic agent.",EP1547581-A1,2005,English,6,World,EP
1363," Novel mature, glycosylated spike protein of coronavirus, useful for treating severe acquired respiratory syndrome in humans.",WO2005056585-A2,2005,English,7,World,WO
1364," Primer for detecting sars-coronavirus without cross-reaction with other coronaviruses for short time sufficient to complete detection in the field, method and kit for detecting sars-coronavirus by using same.",KR2005058620-A,2005,,,World,KR
1365," Detecting the presence of a biological substance in a test sample, useful for diagnosing diseases, by combining saliva, oral or bodily fluid with a fluorescence-labeled ligand and measuring change in fluorescence polarization.",WO2005054854-A1,2005,English,0,World,WO
1366," Recombinant proteins containing diagnosis significant coronavirus protein antigen epitope (sars-cov), associated with grievous acute respiratory syndrome, and sequences of synthetic genes encoding sars-cov.",RU2253870-C1,2005,,0,World,RU
1367," New Neublasmin polypeptide, for diagnosing or treating cancer, such as a testicular germ cell tumor including embryonal carcinoma, teratoma and teratocarcinoma, and male sterility.",WO2005051992-A1,2005,English,8,World,WO
1368," Disinfectant for preventing infectious disease caused by coronavirus such as severe acute respiratory syndrome and diarrhea in dog, cat and pig, contains preset amount of hinokitiol.",JP2005145864-A,2005,Japanese,8,World,JP
1369," Virus growth inhibitor for use in health food and feed, comprises powder of pepper and its aqueous solvent extraction product or organic solvent extract of pepper as active ingredient.",JP2005143391-A,2005,Japanese,8,World,JP
1370," Transfecting antigen presenting cell with mRNA, by preparing a preparation devoid of antisense-oriented RNA and double-stranded RNA and comprising sense-oriented mRNA, and transfecting cell with sense-oriented mRNA from preparation.",WO2005052128-A2,2005,English,4,World,WO
1371," New isolated and purified strain of coronavirus associated with severe acute respiratory syndrome, useful for preparing diagnostic reagents and vaccines, also derived proteins, nucleic acids and antibodies.",FR2862981-A1,2005,French,0,World,FR
1372," Use of proteins, peptides or antibodies for detecting and serotyping coronavirus associated with severe acute respiratory syndrome.",FR2862974-A1,2005,French,3,World,FR
1373, Identifying set of oligonucleotides that will hybridize with a target nucleic acid by determining dG (Gibbs free energy) of oligo-target binding for each oligonucleotide that can bind to the target and selecting the oligonucleotides.,WO2005049851-A2,2005,English,0,World,WO
1374," Modifying an antigen to modify the Th2-type bias of the Th1/Th2-type immune response by decreasing the number of reactive carbonyl groups, useful in manufacturing a medicament for use in desensitizing a patient to an antigen.",WO2005049074-A2,2005,English,8,World,WO
1375, Antibody against SARS coronavirus (SARS-CoV) and its preparation.,CN1621415-A,2005,Chinese,,China,CN
1376," New primer pair, useful for the prognostic determination of the severity of the SARS-CoV infection and the necessary treatment regime.",US2005112558-A1,2005,English,4,World,US
1377," Novel mammalian positive-sense single-stranded RNA virus (EMCR-CoV) belonging to Coronaviruses and identified phylogenetically, useful for treating or preventing EMCR-CoV virus infection and atypical pneumonia.",EP1533370-A1,2005,English,1,World,EP
1378, Kit for detecting SARS coronavirus by quantitative PCR.,CN1618982-A,2005,Chinese,,China,CN
1379, Identifying a compound capable of preventing or inhibiting viral infection of a host cell by preparing a target comprising the amino acid sequence of a viral fusion initiation region (FIR) and screening for a target-binding compound.,WO2005044992-A2,2005,English,3,World,WO
1380," Mask for preventing transmission of influenza virus, has laminate of several non-woven fabrics in which surface non-woven fabric is made from polyolefin or polyester and adhered with preset amount of titanium dioxide apatite photocatalyst.",JP2005124777-A,2005,,3,World,JP
1381, SARS coronavirus structure protein ORF3 and its use.,CN1616485-A,2005,Chinese,,China,CN
1382, A specific peptide antigen for detecting Severe Acute Respiratory Syndrome coronavirus and its method - can increase the precision of the detection so as to prevent the occurrence of pseudopositive or pseudonegative results.,TW200516082-A,2005,Chinese,0,World,TW
1383, New boron-containing compounds are coronavirus protease inhibitors useful to treat infection caused by coronavirus (severe acute respiratory syndrome-associated coronavirus).,WO2005041904-A2,2005,English,8,World,WO
1384," New anti-severe acute respiratory syndrome (SARS) virus monoclonal antibody or its antigen-binding fragment against nucleoprotein of SARS causing coronavirus, useful for diagnosing SARS viral infection.",WO2005042579-A1,2005,Japanese,1,World,WO
1385," New library of nucleic acid oligomers immobilized on a support, useful for the identification of drug targets and drug discovery, and for detecting hybridization between complementary probe and nucleic acid sequences.",WO2005042716-A2,2005,English,0,World,WO
1386," New Severe Acute Respiratory Syndrome coronavirus (SARS coronavirus or SCoV) peptide, useful for detecting antibodies to SCoV in sera and body fluids and for diagnosing SARS.",US2005100883-A1,2005,English,5,World,US
1387," Identifying an oligoadenylate synthetase 1 gene mutation, useful for treating, e.g. viral infection, cancer or diabetes, comprises detecting in a nucleic acid sample, the presence of an oligoadenylate synthetase 1 point mutation.",WO2005040428-A2,2005,English,1,World,WO
1388," New yellow fever virus vector, useful for producing vaccine to treat e.g. severe-acute respiratory syndrome infection, hepatitis B virus, HIV and cancer, comprises an exogenous polypeptide expression element.",WO2005040390-A1,2005,Chinese,3,World,WO
1389," Detecting presence of biological substance such as peptide, protein, lipid in test sample, by combining test sample with fluorescence labeled ligand to biological substance, and measuring change in fluorescence polarization.",US2005095601-A1,2005,English,8,World,US
1390," Detecting replication of severe acute respiratory syndrome coronavirus (SARS-coronavirus) by detecting the presence SARS-coronavirus subgenomic RNA, useful for screening anti-SARS coronavirus agents and vaccines.",US2005095582-A1,2005,English,5,World,US
1391," New nucleic acids and peptides of the spike glycoprotein of SARS CoV, useful in the fields of immunochemistry and pharmacology, and in particular for diagnosing, preventing and treating SARS CoV infection.",US2005095618-A1,2005,English,5,World,US
1392," Antiviral agent, useful for the inactivation of coronavirus e.g. SARS virus and for prevention of infectious diseases, comprises silver-ion carrier.",WO2005037296-A1,2005,Japanese,8,World,WO
1393," Detecting pathogen e.g. upper respiratory virus, by selecting target sequence from pathogen, immobilizing allelic-specific-oligonucleotide site onto solid matrix, performing blot analyzes and comparing with control.",WO2005038427-A2,2005,English,1,World,WO
1394," Peptide library, its synthesis process and active segment screened from the peptide library.",CN1609119-A,2005,Chinese,,China,CN
1395, New fast and sensitive SARS virus detecting method.,CN1609230-A,2005,,,China,CN
1396," Preparation of an S190 polypeptide vaccine for resisting severe acute respiratory syndrome virus, comprises recombinant technology.",CN1608673-A,2005,Chinese,,JiangSu,CN
1397," New nucleic acids of severe acute respiratory syndrome (SARS) coronavirus, useful as immunogens and/or vaccines and/or to express heterologous nucleic acids.",WO2005035712-A2,2005,English,9,World,WO
1398," Use of sodium channel blocker for prophylactic treatment of infection or disease from airborne pathogens e.g. gram-negative bacteria, influenza virus, rhinovirus, adenovirus and coronavirus.",WO2005034847-A2,2005,English,8,World,WO
1399," Feline coronavirus strain with stable infective and antigen activity, useful for treating and diagnosing infective feline peritonitis.",RU2250260-C1,2005,,0,World,RU
1400," Novel soluble angiotensin-converting enzyme-2, useful as functional receptor for severe acute respiratory syndrome SARS coronavirus for blocking binding of SARS virus to host cell.",WO2005032487-A2,2005,English,7,World,WO
1401," Use of a composition comprising an anti-cytokine or anti-inflammatory agent (e.g. interferon and cicaprost) and a carrier to control or alleviate e.g. tissue destruction/dysfunction, pain, skin cancer, inflammation and wound.",WO2005032470-A2,2005,English,8,World,WO
1402," Use of sodium channel blocker for prophylactic treatment against infection or disease from airborne pathogens, e.g. influenza virus, rhinovirus, adenovirus and coronavirus.",US2005080093-A1,2005,English,2,World,US
1403," New antiviral peptides that exhibit antiviral activity against a coronavirus, useful for treating or preventing infections caused by coronaviruses, such as Severe Acute Respiratory Syndrome (SARS) infection.",WO2005032453-A2,2005,English,7,World,WO
1404, Antivirus dihydromyricetin and myricetin containing pharmaceutical composition.,CN1605335-A,2005,Chinese,,China,CN
1405," Agent for treating gastrointestinal disorders such as viral diarrhea due to rotavirus and/or coronavirus, contains interferon as active ingredient.",JP2005089301-A,2005,Japanese,5,World,JP
1406," Detecting, monitoring inflammation in a subject, useful for treating inflammation and associated diseases, by administering a vector comprising a reporter nucleic acid operably linked to promoter nucleic acid and in vivo monitoring.",WO2005030927-A2,2005,English,6,World,WO
1407," Protein, products containing same, and their use in diagnosis, treatment and /or prevention of SARS related disease.",CN1603346-A,2005,Chinese,,China,CN
1408, Active constituent of traditional Chinese medicine capable of inhibiting SARS coronavirus infection and its bioactivity measuring method.,CN1602853-A,2005,Chinese,,China,CN
1409, Novel severe acute respiratory syndrome coronavirus (SARS-COV) specific epitope related polypeptide useful for diagnosing and treating SARS-COV infection.,US2005106563-A1,2005,English,3,World,US
1410," New fully human antibody that binds to severe acute respiratory syndrome-associated coronavirus (SARS-CoV) and neutralizes SARS-CoV, useful in preparing a composition for treating or preventing SARS.",WO2005027847-A2,2005,English,9,World,WO
1411, Application of l-sophocarpine in preparing medication for curing disease caused by coronavirus.,CN1600308-A,2005,Chinese,,China,CN
1412," Oligonucleotide set useful in assays for severe acute respiratory syndrome Coronavirus (SARS-CoV), comprises first and second amplification primers having sequences binding to SARS-CoV target sequence.",WO2005025408-A2,2005,English,3,World,WO
1413," New oligonucleotide set comprising a first amplification primer and a second amplification primer, useful for detecting severe acute respiratory syndrome (SARS) Coronavirus (SARS-CoV) infection.",WO2005025407-A2,2005,English,9,World,WO
1414," Gene chip for diagnosing coronary virus which uses the confirmed distinguished segments of coronavirus as the detect site where the chip is used in detecting coronavirus in the food, environment and quarantine.",CN1597984-A,2005,Chinese,,China,CN
1415," New oligomeric compound comprising 8-80 nucleobases targeted to a nucleic acid molecule encoding severe acute respiratory syndrome (SARS) virus, useful for treating a disease or condition associated with a SARS virus.",WO2005023083-A2,2005,English,0,World,WO
1416," Synergistic pharmaceutical or nutritional supplement combination preparation used for combating viral diseases, especially influenza or colds, comprises glycyrrhizic acid, zinc and thiol compound.",WO2005023240-A2,2005,German,3,World,WO
1417, Inactivating a virus (e.g. HCV) in a patient to treat the viral infection comprises administering to the patient a modified small interfering RNA in an amount to inactivate the virus.,US2005058982-A1,2005,English,0,World,US
1418," Inducing an immune response in a subject, useful for generating an immune response against HIV in humans, comprises administering a system of two or more conditionally replicating lentiviral vectors to a cell of the subject.",WO2005023313-A1,2005,English,4,World,WO
1419," Disinfectant against coronavirus for use in closed chamber, essentially consists of hinokitiol and/or its salt and derivatives.",JP2005068089-A,2005,,3,World,JP
1420, Buccal tablet of recombined human interferon alpha 1 b and its preparation.,CN1593648-A,2005,Chinese,,China,CN
1421, Treating a virus-infected subject or reducing the subject's risk of viral infection comprises administering to the subject an interferon polypeptide.,WO2005023290-A2,2005,English,5,World,WO
1422, Inhibiting cytokine production in patient infected with severe acute respiratory syndrome coronavirus comprises administering triptolide compound.,WO2005020887-A2,2005,English,9,World,WO
1423, Treatment of coronavirus infection comprises contacting mammal with coronavirus infection with an antisense compound comprising at least one antiviral nucleoside and/or nucleoside mimetic.,WO2005020885-A2,2005,English,7,World,WO
1424, Acid tolerant probiotic Enterococcus faecalis probio-056 that can suppresses the growth of pathogenic microorganisms and PED (porcine epidemic diarrhea) coronavirus.,KR2005023475-A,2005,,,World,KR
1425," An assay for coronaviruses, useful for diagnosing Severe Acute Respiratory Syndrome (SARS) infection, comprising detectants specific for at least two genes selected from spike, envelope, membrane, and nucleocapsid.",WO2005021798-A1,2005,English,0,World,WO
1426, Delivery of immune response modifier compound to mucosal surface useful for treating e.g. cervical dysplasia involves interrupted delivery by sequentially applying and removing the modifier compound to/from the mucosal surface.,WO2005020995-A1,2005,English,0,World,WO
1427," Treating host infected with coronavirus, togavirus or picornavirus comprises administering nucleoside analog.",WO2005020884-A2,2005,English,7,World,WO
1428, Raising a detectable immune response to the multiple Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) polypeptides comprises administering to a vertebrate SARS-CoV polynucleotides or polypeptides.,WO2005021707-A2,2005,English,6,World,WO
1429, Antibody pointed at SARS coronavirus N protein antigen and its use in detecting SARS coronavirus or its antigen.,CN1590409-A,2005,Chinese,,China,CN
